price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.57
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,F,Konstruksi,2057.64
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3750.13
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,H,Transportasi dan Pergudangan,1052.17
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,I,Penyediaan Akomodasi dan Makan Minum,731.16
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,J,Informasi dan Komunikasi,487.79
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,K,Jasa Keuangan dan Asuransi,444.16
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,L,Real Estate,814.05
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,MN,Jasa Perusahaan,66.38
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1298.2
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,P,Jasa Pendidikan,625.43
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,PDRB,Produk Domestik Regional Bruto,24109.08
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,314.36
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,RSTU,Jasa Lainnya,198.18
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,A,"Pertanian, Kehutanan dan Perikanan",4561.21
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,B,Pertambangan dan Penggalian,1899.11
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,C,Industri Pengolahan,5180.0
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,D,Pengadaan Listrik dan Gas,27.51
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.75
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,F,Konstruksi,2144.17
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3815.95
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,H,Transportasi dan Pergudangan,1083.38
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,I,Penyediaan Akomodasi dan Makan Minum,699.26
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,J,Informasi dan Komunikasi,501.85
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,K,Jasa Keuangan dan Asuransi,472.06
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,L,Real Estate,825.96
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,MN,Jasa Perusahaan,68.52
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1283.53
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,P,Jasa Pendidikan,700.91
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,PDRB,Produk Domestik Regional Bruto,23773.66
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,332.72
ADHB,Kep. Bangka Belitung,2022,Q3,2022Q3,RSTU,Jasa Lainnya,172.75
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,A,"Pertanian, Kehutanan dan Perikanan",4980.92
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,B,Pertambangan dan Penggalian,1847.7
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,C,Industri Pengolahan,5038.7
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,D,Pengadaan Listrik dan Gas,25.41
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.97
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,F,Konstruksi,2326.23
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3828.97
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,H,Transportasi dan Pergudangan,1163.63
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,I,Penyediaan Akomodasi dan Makan Minum,802.87
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,J,Informasi dan Komunikasi,518.51
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,K,Jasa Keuangan dan Asuransi,485.14
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,L,Real Estate,835.98
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,MN,Jasa Perusahaan,71.95
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1398.52
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,P,Jasa Pendidikan,711.19
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,PDRB,Produk Domestik Regional Bruto,24588.82
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,341.71
ADHB,Kep. Bangka Belitung,2022,Q4,2022Q4,RSTU,Jasa Lainnya,206.43
ADHB,Kep. Bangka Belitung,2023,Q1,2023Q1,A,"Pertanian, Kehutanan dan Perikanan",4810.96
ADHB,Kep. Bangka Belitung,2023,Q1,2023Q1,B,Pertambangan dan Penggalian,1700.0
