price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kalimantan Utara,2021,Q4,2021Q4,B,Pertambangan dan Penggalian,8234.62
ADHB,Kalimantan Utara,2021,Q4,2021Q4,C,Industri Pengolahan,2579.52
ADHB,Kalimantan Utara,2021,Q4,2021Q4,D,Pengadaan Listrik dan Gas,16.94
ADHB,Kalimantan Utara,2021,Q4,2021Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",18.07
ADHB,Kalimantan Utara,2021,Q4,2021Q4,F,Konstruksi,3828.83
ADHB,Kalimantan Utara,2021,Q4,2021Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3610.14
ADHB,Kalimantan Utara,2021,Q4,2021Q4,H,Transportasi dan Pergudangan,1878.0
ADHB,Kalimantan Utara,2021,Q4,2021Q4,I,Penyediaan Akomodasi dan Makan Minum,444.99
ADHB,Kalimantan Utara,2021,Q4,2021Q4,J,Informasi dan Komunikasi,774.9
ADHB,Kalimantan Utara,2021,Q4,2021Q4,K,Jasa Keuangan dan Asuransi,323.1
ADHB,Kalimantan Utara,2021,Q4,2021Q4,L,Real Estate,210.06
ADHB,Kalimantan Utara,2021,Q4,2021Q4,MN,Jasa Perusahaan,64.66
ADHB,Kalimantan Utara,2021,Q4,2021Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1369.79
ADHB,Kalimantan Utara,2021,Q4,2021Q4,P,Jasa Pendidikan,745.12
ADHB,Kalimantan Utara,2021,Q4,2021Q4,PDRB,Produk Domestik Regional Bruto,29301.48
ADHB,Kalimantan Utara,2021,Q4,2021Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,327.63
ADHB,Kalimantan Utara,2021,Q4,2021Q4,RSTU,Jasa Lainnya,210.38
ADHB,Kalimantan Utara,2022,Q1,2022Q1,A,"Pertanian, Kehutanan dan Perikanan",4497.69
ADHB,Kalimantan Utara,2022,Q1,2022Q1,B,Pertambangan dan Penggalian,8546.67
ADHB,Kalimantan Utara,2022,Q1,2022Q1,C,Industri Pengolahan,2581.33
ADHB,Kalimantan Utara,2022,Q1,2022Q1,D,Pengadaan Listrik dan Gas,15.53
ADHB,Kalimantan Utara,2022,Q1,2022Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",17.81
